음식명,코멘트,땅콩,우유,달걀,갑각류,밀가루,복숭아,비건,아침,점심,저녁,비,눈,더운 날,추운 날,매운
매운탕,칼칼 시원한,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
삼계탕,힘이 불끈 솟아나는,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
추어탕,추운날 생각나는,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
고추튀김,바삭바삭 매콤한,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
새우튀김,바삭바삭 탱글탱글,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
오징어튀김,바삭바삭 쫄깃쫄깃,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
보쌈,싸먹는 재미가 있는,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
떡꼬치,쫀득달콤짭짤한,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
갈비구이,달달한,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
닭갈비,매콤 부드러운,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
더덕구이,쌉쌀한,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
떡갈비,육즙가득,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
불고기,간단요리,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
황태구이,쫄깃쫄깃,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
감자채볶음,"밑반찬/아이반찬",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
건새우볶음,바삭바삭한,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
고추장진미채볶음,달달쫀득,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
두부김치,고소함,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0
떡볶이,학창시절 추억의 맛,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1
라볶이,떡볶이에 사치 한스푼,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1
멸치볶음,밥반찬,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
소세지볶음,밥 한공기 뚝딱,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
어묵볶음,기본 반찬,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
오징어채볶음,쌀밥과 찰떡궁합,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
제육볶음,덮밥으로 먹어도 맛있는,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
주꾸미볶음,맵지만 자꾸 먹고싶은 맛,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
